Jenis Kegiatan,Februari 2026
Penduduk Berumur 15 Tahun Ke Atas,219538628
Angkatan Kerja,154911235
Tingkat Partisipasi Angkatan Kerja (%),70.56
Bekerja,147667630
Pengangguran Terbuka,7243605
Tingkat Pengangguran Terbuka (%),4.68
Bukan Angkatan Kerja,64627393
Sekolah,16858181
Mengurus Rumah Tangga,39283062
Lainnya,8486150
Tingkat Kesempatan Kerja (%),95.32
